Recipe with prompt,Human score,Total possible score 
"African Curried Coconut Soup with Chickpeas, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Lamb KÃ¶fte with Yogurt Sauce and Muhammara, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Seared Halloumi with Peanut Dukkah and Honey, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Smoked Salmon Toasts with Malt Vinegar Syrup, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Kimchi and Miso Noodle Soup, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Peanut Butter Cheesecake with Caramelized Banana Topping, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Spiced Lamb and Dill Yogurt Pasta, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Gribiche (Hard Boiled Egg) Dressing, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Bucatini with Olives, Sun Dried Tomatoes, and Basil, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Mustard Cream Sauce, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Green Goddess Dressing, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Brussels Sprout Tacos with Spicy Peanut Butter, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Chicken Chili, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Roasted Strawberry Danish, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Rhubarb and Raspberry Crostata, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Spinach with Chickpeas and Fried Eggs, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Garlicâ€“Brown Butter Croutons, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Southern One Cup Peach Cobbler, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Coconut Creamed Corn and Grains, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",0,2
"Smashed Twice Cooked Potatoes with Leeks and Green Garlic, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Shrimp Scallion Dumplings, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",0,2
"Strawberry Lemonade_4078, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Herb Brined Pork Prime Rib Roast, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Wasabi and Green Onion Mashed Potatoes, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Chocolate and Hazelnut Spread, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Winter Lettuces with Pomegranate Seeds, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Potato  and Chorizo Stuffed Ancho Chiles, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Featherlight Yeast Rolls, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Orecchiette with Buttermilk, Peas, and Pistachios, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Apricot and Rosemary Skewers, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Grilled Herb Potatoes, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Doughnut Hole Croquembouche, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Spiced and Grilled Steaks With Citrus Chutney, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Sweet Lavender Scones, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Hot Sauce Brown Butter, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Almond Cherry Chocolate Bark, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Leek Bread Pudding, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Fresh Strawberry Pie with Whipped Cream, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Crispy Skinned Fish, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Coconut Chocolate Icebox Cake with Toasted Almonds, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Beet Poke Bowl, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Sour Cream Pumpkin Pie, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Pumpkin Turkey Ghoulash with Caraway Noodles, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Hanger Steak with Mushrooms and Red Wine Sauce, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Easter Bread (Tsoureki), top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Frittata with Bacon, Fresh Ricotta, and Greens, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
